"run","es.mean","r.vars","n.obs","n.vars","upper.pwr","lower.pwr","obs.power","true.edr","true.err","tot.mdl.edr","tot.mdl.err","sel.mdl.edr","sel.mdl.err","tot.mdl_bias.edr","tot.mdl_bias.err","tot.mdl_bias.OJS","tot.mdl_bias.EJS","tot.mdl_bias.P","sel.mdl_bias.edr","sel.mdl_bias.err","sel.mdl_bias.OJS","sel.mdl_bias.EJS","sel.mdl_bias.P"
24,0,0.5,20,10,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0845133075897246,0.10802563146059,0.05,0.025,0,0.02,1,0.0845133075897246,0.10802563146059,0,0.02,1
25,0,0.5,30,2,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0545789813702706,0.0420566663799033,0.05,0.025,0,0.02,1,0.0545789813702706,0.0420566663799033,0,0.02,1
26,0,0.5,30,5,0.025,0.025,0.05,0.05,0.025,0.05,0.025,0.0562845760250889,0.0477005975662594,0.05,0.025,0,0.02,1,0.0562845760250889,0.0477005975662594,0,0.02,1
27,0,0.5,30,10,0.025,0.025,0.05,0.05,0.025,0.0561768533607503,0.0473542748438946,0.0761850517664284,0.0948770197682955,0.0561768533607503,0.0473542748438946,0,0.02,1,0.0761850517664284,0.0948770197682955,0,0.02,1
28,0,0.75,15,2,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.052810116524428,0.0358182722690794,0.0625877384586622,0.0658892510718315,0.052810116524428,0.0358182722690794,0,0.02,1,0.0625877384586622,0.0658892510718315,0,0.02,1
29,0,0.75,15,5,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0560104397425866,0.0468166452331851,0.068368194268837,0.0796214291147338,0.0560104397425866,0.0468166452331851,0,0.02,1,0.068368194268837,0.0796214291147338,0,0.02,1
30,0,0.75,15,10,0.025,0.025,0.0500000000000001,0.0500000000000001,0.025,0.0540474919288869,0.0409141242255051,0.0829116768648055,0.105702133463155,0.0540474919288869,0.0409141242255051,0,0.02,1,0.0829116768648055,0.105702133463155,0,0.02,1
31,0,0.75,20,2,0.025,0.025,0.05,0.05,0.025,0.0540298505847463,0.0403599928320438,0.060564873308758,0.0604645280466799,0.0540298505847463,0.0403599928320438,0,0.02,1,0.060564873308758,0.0604645280466799,0,0.02,1
32,0,0.75,20,5,0.025,0.025,0.05,0.05,0.025,0.0546690416264148,0.0423634887355592,0.0662577016375072,0.0748854031745342,0.0546690416264148,0.0423634887355592,0,0.02,1,0.0662577016375072,0.0748854031745342,0,0.02,1
33,0,0.75,20,10,0.025,0.025,0.05,0.05,0.025,0.0545540098398536,0.0419714125762271,0.0764641359566354,0.095364019129161,0.0545540098398536,0.0419714125762271,0,0.02,1,0.0764641359566354,0.095364019129161,0,0.02,1
